trace_mix,pixel_budget,dimension_source,mode,pool_blocks,tokens_per_block,baseline_max_context,preemption_watermark,requests,requests_admitted,requests_completed,requests_never_admissible,steps,tokens_decoded,peak_active_requests,peak_blocks_in_use,peak_bytes_in_use,utilization,max_partial_block_slack,preemptions,resumes,failed_resumes,swapped_blocks_out,forks,cow_events,prefix_hits,prefix_blocks_saved,p99_ttft_cost,size_aware,prefix_caching,head_of_line_stall_steps,fragmentation_failures,completed,leak_free
bimodal,recommended,devices,paged,912,16,8192,0,400,400,400,0,4452,32814,8,679,1245970432,0.991105,15,0,0,0,0,0,0,0,0,326527,0,0,3667,0,1,1
bimodal,recommended,devices,paged,912,16,8192,0,400,400,400,0,4452,32814,8,679,1245970432,0.991105,15,0,0,0,0,0,0,0,0,326527,1,0,3667,0,1,1
bimodal,recommended,devices,paged,256,16,8192,0,400,400,400,0,10390,32814,7,229,420216832,0.991105,15,0,0,0,0,0,0,0,0,325274,0,0,9705,0,1,1
bimodal,recommended,devices,paged,256,16,8192,0,400,400,400,0,10023,32814,7,239,438566912,0.991105,15,0,0,0,0,0,0,0,0,324724,1,0,9342,0,1,1
