trace_mix,pixel_budget,dimension_source,mode,pool_blocks,tokens_per_block,baseline_max_context,preemption_watermark,requests,requests_admitted,requests_completed,requests_never_admissible,steps,tokens_decoded,peak_active_requests,peak_blocks_in_use,peak_bytes_in_use,utilization,max_partial_block_slack,preemptions,resumes,failed_resumes,swapped_blocks_out,forks,cow_events,prefix_hits,prefix_blocks_saved,p99_ttft_cost,size_aware,prefix_caching,head_of_line_stall_steps,fragmentation_failures,completed,leak_free
bimodal,recommended,devices,paged,256,16,8192,0,2,2,2,0,154,188,2,106,194510848,0.993665,15,0,0,0,0,0,0,0,0,1620,0,0,0,0,1,1
bimodal,recommended,devices,paged,256,16,8192,0,2,2,2,0,160,188,2,106,194510848,0.976350,1040,0,0,0,0,0,0,0,0,1620,0,0,0,0,1,1
