trace_mix,pixel_budget,dimension_source,mode,pool_blocks,tokens_per_block,baseline_max_context,preemption_watermark,requests,requests_admitted,requests_completed,requests_never_admissible,steps,tokens_decoded,peak_active_requests,peak_blocks_in_use,peak_bytes_in_use,utilization,max_partial_block_slack,preemptions,resumes,failed_resumes,swapped_blocks_out,forks,cow_events,prefix_hits,prefix_blocks_saved,p99_ttft_cost,size_aware,prefix_caching,head_of_line_stall_steps,fragmentation_failures,completed,leak_free
repeated-prefix,recommended,devices,paged,912,16,8192,0,400,400,400,0,4259,32681,8,702,1288175616,0.993936,15,0,0,0,0,0,0,0,0,488044,0,0,3695,0,1,1
repeated-prefix,recommended,devices,paged,912,16,8192,0,400,400,400,0,4259,32681,8,830,1523056640,1.097763,15,0,0,0,0,0,174,232,16606,488044,0,1,3695,0,1,1
